title,url
確率母関数と積率母関数,https://zenn.dev/shundeveloper/articles/ed692f0b8677da/
正規表現と友達になろう,https://zenn.dev/shundeveloper/articles/8587cedf949a4c
日本語に関連する主なUnicodeの範囲と公式のpdfの一覧,https://zenn.dev/shundeveloper/articles/a4be0379508e2d
日本語に関連するunicodeの範囲一文字を指定する正規表現マッチオブジェクトを作成する関数の作成,https://zenn.dev/shundeveloper/articles/b5cc85b4d1e7eb
平均と分散を漸化式を使って爆速で求める,https://zenn.dev/shundeveloper/articles/a38d310f5e524e
友達のMacの環境構築をした話 (初心者向け),https://zenn.dev/shundeveloper/articles/a2c360bc89ad52
初心者がRustのstd::netのソースコードを読んでみた,https://zenn.dev/shundeveloper/articles/9b45b1a886961a
マルコフ連鎖モンテカルロを用いたベイズ推定,https://zenn.dev/shundeveloper/articles/8be490a0327cb1
【統計学】メトロポリス-ヘイスティング法(Metropolis-Hastings Algorithm)で詳細釣り合い条件が成立することの証明,https://zenn.dev/shundeveloper/articles/878f2b6504338e
[統計学]モンテカルロ積分の証明と実践,https://zenn.dev/shundeveloper/articles/c51a759af9b5ca
[統計学] 畳み込み積分と確率変数の和 を読みました,https://zenn.dev/shundeveloper/articles/871ed8111e61ef/
[統計学] 現代数理統計学の基礎: 7章 式変形の導出,https://zenn.dev/shundeveloper/articles/4acdc8ca2944ae/
"[統計学] 正規分布の期待値・分散を素早く導出する方法, 標準正規分布の導出と期待値・分散",https://zenn.dev/shundeveloper/articles/c0ac306c89f996
[統計学] 正規分布の期待値と分散(1次元),https://zenn.dev/shundeveloper/articles/a3bb9d8634ca19/
[統計学] 数理統計学の主要な概念の定義一覧,https://zenn.dev/shundeveloper/articles/6b071255a1546c
[統計学] 二項分布の正規近似 De Moivre-Laplace theorem,https://zenn.dev/shundeveloper/articles/4b331a06ca88c0/
"[統計学] 二項分布の期待値と分散, 積率母関数, 最尤推定, 可視化",https://zenn.dev/shundeveloper/articles/e8c1049ca540db/
[統計学] 二項分布のベイズ推定,https://zenn.dev/shundeveloper/articles/986899a7a29e2d/
"[統計学] ポアソン分布の期待値, 分散, 積率母関数, 最尤推定, 可視化",https://zenn.dev/shundeveloper/articles/ecfea8a4a01309/
[統計学] ポアソンの小数法則の証明と可視化,https://zenn.dev/shundeveloper/articles/77f3739af0214b/
[統計学] ポアソンの小数法則の証明と可視化,https://zenn.dev/shundeveloper/articles/77f3739af0214b
[統計学] ベータ分布の期待値と分散,https://zenn.dev/shundeveloper/articles/b5b4002bc09f3b/
"[統計学] ベルヌーイ分布の期待値と分散, 積率母関数, ベイズ推定",https://zenn.dev/shundeveloper/articles/100ba5ebfc19cb/
"[統計学] ガンマ分布の期待値・分散, 積率母関数, 可視化",https://zenn.dev/shundeveloper/articles/eba111782c85cf/
"[統計学] カテゴリ分布の定義, 期待値と分散",https://zenn.dev/shundeveloper/articles/9572b49beee51f/
[統計学] ウッドベリーの公式の証明,https://zenn.dev/shundeveloper/articles/f1c1ab8f57ee57/
[大学数学] マクローリン展開の可視化,https://zenn.dev/shundeveloper/articles/639b05f3a45181/
[Web] Streamlitの簡易的なテストを作成した話,https://zenn.dev/shundeveloper/articles/330f469d123876/
[Web] Streamlitのアプリケーションを作った話,https://zenn.dev/shundeveloper/articles/f003e73658ce6f/
[Web] Streamlitのアプリケーションが検索可能になるらしいので試してみた話,https://zenn.dev/shundeveloper/articles/f7f9069332a49e/
[Web] Streamlitのupdateの確認,https://zenn.dev/shundeveloper/articles/26ecb0d281dac6/
[Web] GitHub Actionsでzshを使うtips,https://zenn.dev/shundeveloper/articles/2fdf4bf627072f
[Web] DockerとDocker Compose(v2)のインストールを自動化,https://zenn.dev/shundeveloper/articles/f10826b44f04d7/
[AI・機械学習] GPT Indexを体験してきたので感想やかかった費用を書いていく,https://zenn.dev/shundeveloper/articles/059ff1543946c5/
Zshをカスタマイズしよう,https://zenn.dev/shundeveloper/articles/ef7bb1a1b85663
VSCode+KaTeXで楽に数式を記述しよう,https://zenn.dev/shundeveloper/articles/86e3cda89492d4
Readable 正規表現 @PHPerKaigi 2024,https://zenn.dev/shundeveloper/articles/e6405c323c555a
Pythonで可視化するときのちょっとしたコツ,https://zenn.dev/shundeveloper/articles/51596a6e9bfeb3
Python Notebookを速く安全に書く,https://zenn.dev/shundeveloper/articles/4322d4dad72b9f
PostgREST: CheatSheet / JOIN Table Query,https://zenn.dev/shundeveloper/articles/873aa2aa6ed34d
PHP Onelinerでお洒落なおみくじを作成する,https://zenn.dev/shundeveloper/articles/e113c189e3cc97
"HTMLタグを抽出する正規表現,  読めますか?",https://zenn.dev/shundeveloper/articles/8f74aa69ed9702
C#でResult型を作ってみた,https://zenn.dev/shundeveloper/articles/d824035de4e042
Arc Command Cheatsheet,https://zenn.dev/shundeveloper/articles/a43596aa959d38
